game_id,platform
1416460,Steam
1416520,Steam
1416600,Steam
1415750,Steam
1415830,Steam
1415840,Steam
1415870,Steam
1415890,Steam
1415920,Steam
1415950,Steam
1416000,Steam
1416020,Steam
1416050,Steam
1415200,Steam
1415250,Steam
1415280,Steam
1415300,Steam
1415320,Steam
1415370,Steam
1415380,Steam
1415410,Steam
1415470,Steam
1415480,Steam
1415520,Steam
1415540,Steam
1415580,Steam
1415590,Steam
1415620,Steam
1415630,Steam
1415670,Steam
1414680,Steam
1414700,Steam
1414710,Steam
1414720,Steam
1414770,Steam
1414790,Steam
1414800,Steam
1414840,Steam
1414850,Steam
1414900,Steam
1414920,Steam
1414930,Steam
1414990,Steam
1415020,Steam
1415110,Steam
1415120,Steam
1414270,Steam
1414280,Steam
1414290,Steam
1414300,Steam
1414320,Steam
1414380,Steam
1414400,Steam
1414430,Steam
1414470,Steam
1414480,Steam
1414490,Steam
1414500,Steam
1414530,Steam
1414550,Steam
1414570,Steam
1414640,Steam
1414650,Steam
1413780,Steam
1413790,Steam
1413820,Steam
1413870,Steam
1413890,Steam
1413930,Steam
1413960,Steam
1413970,Steam
1413980,Steam
1413990,Steam
1414000,Steam
1414020,Steam
1414060,Steam
1414070,Steam
1414090,Steam
1414180,Steam
1414210,Steam
1414220,Steam
1414240,Steam
1414250,Steam
1413290,Steam
1413300,Steam
1413310,Steam
1413350,Steam
1413370,Steam
1413440,Steam
1413470,Steam
1413500,Steam
1413540,Steam
1413550,Steam
1413560,Steam
1413580,Steam
1413590,Steam
1413600,Steam
1413630,Steam
1413650,Steam
1413660,Steam
1413670,Steam
1413680,Steam
1412780,Steam
1412820,Steam
1412840,Steam
1412850,Steam
1412870,Steam
1412880,Steam
1412890,Steam
1412900,Steam
1412950,Steam
1412960,Steam
1412970,Steam
1412980,Steam
1412990,Steam
1413000,Steam
1413010,Steam
1413020,Steam
1413070,Steam
1413090,Steam
1413170,Steam
1413210,Steam
1413250,Steam
1413260,Steam
1412310,Steam
1412370,Steam
1412440,Steam
1412470,Steam
1412560,Steam
1412580,Steam
1412610,Steam
1412620,Steam
1412630,Steam
1412640,Steam
1412650,Steam
1412660,Steam
1411840,Steam
1411860,Steam
1411880,Steam
1411910,Steam
1411920,Steam
1411940,Steam
1411970,Steam
1412000,Steam
1412040,Steam
1412120,Steam
1412170,Steam
1412180,Steam
1412190,Steam
1412220,Steam
1412240,Steam
1412250,Steam
1412260,Steam
1411360,Steam
1411380,Steam
1410500,Steam
1410560,Steam
1411410,Steam
1411420,Steam
1411460,Steam
1411490,Steam
1411550,Steam
1411630,Steam
1411660,Steam
1411700,Steam
1411710,Steam
1411740,Steam
1411770,Steam
1411800,Steam
1410840,Steam
1410850,Steam
1410860,Steam
1410870,Steam
1410980,Steam
1411000,Steam
1411020,Steam
1411030,Steam
1411040,Steam
1411090,Steam
1411170,Steam
1411200,Steam
1411330,Steam
1410360,Steam
1410370,Steam
1410380,Steam
1410440,Steam
1410490,Steam
1410580,Steam
1410600,Steam
1410620,Steam
1410660,Steam
1410680,Steam
1410700,Steam
1410710,Steam
1410740,Steam
1410770,Steam
1410790,Steam
1410810,Steam
1410830,Steam
1409930,Steam
1410070,Steam
1410080,Steam
1410090,Steam
1410100,Steam
1410110,Steam
1410140,Steam
1410200,Steam
1410210,Steam
1410260,Steam
1410300,Steam
1410330,Steam
1409470,Steam
1409510,Steam
1409520,Steam
1409530,Steam
1409570,Steam
1409600,Steam
1409610,Steam
1409630,Steam
1409640,Steam
1409670,Steam
1409680,Steam
1409700,Steam
1409710,Steam
1409730,Steam
1409740,Steam
1409760,Steam
1409770,Steam
1409780,Steam
1409810,Steam
1409830,Steam
1409160,Steam
1409180,Steam
1409190,Steam
1409200,Steam
1409250,Steam
1409260,Steam
1409300,Steam
1409320,Steam
1409330,Steam
1409340,Steam
1409350,Steam
1409360,Steam
1409370,Steam
1408570,Steam
1408590,Steam
1408630,Steam
1408700,Steam
1408710,Steam
1408760,Steam
1408810,Steam
1408860,Steam
1408930,Steam
1409020,Steam
1408160,Steam
1408200,Steam
1408220,Steam
1408260,Steam
1408310,Steam
1408350,Steam
1408370,Steam
1408380,Steam
1408410,Steam
1408420,Steam
1408430,Steam
1408450,Steam
1408480,Steam
1408490,Steam
1408530,Steam
1408550,Steam
1407790,Steam
1407850,Steam
1407860,Steam
1407870,Steam
1407920,Steam
1407950,Steam
