game_id,genres
1425380,Casual
1425380,Indie
1425390,Adventure
1425390,Casual
1425390,Indie
1425390,Simulation
1425390,Strategy
1425390,Early Access
1425410,Free To Play
1425410,Role Playing
1425410,Strategy
1425410,Early Access
1425510,Adventure
1425510,Casual
1425510,Indie
1425510,Simulation
1424630,Action
1424640,Adventure
1424640,Casual
1424640,Indie
1424640,Role Playing
1424650,Action
1424650,Casual
1424650,Indie
1424660,Casual
1424690,Action
1424690,Adventure
1424690,Indie
1424690,Role Playing
1424700,Indie
1424710,Adventure
1424710,Indie
1424710,Role Playing
1424710,Strategy
1424770,Adventure
1424770,Casual
1424770,Indie
1424770,Simulation
1424780,Action
1424780,Adventure
1424780,Casual
1424780,Indie
1424780,Simulation
1424790,Action
1424790,Adventure
1424790,Casual
1424790,Indie
1424790,Simulation
1424860,Action
1424860,Casual
1424860,Strategy
1424870,Adventure
1424870,Casual
1424870,Indie
1424890,Casual
1424890,Free To Play
1424890,Massively Multiplayer
1424890,Role Playing
1424900,Action
1424900,Casual
1424900,Indie
1424900,Free To Play
1424910,Action
1424910,Indie
1424910,Racing
1424910,Early Access
1424960,Action
1424960,Casual
1424960,Indie
1424980,Indie
1424980,Strategy
1425010,Adventure
1425010,Casual
1425010,Indie
1425010,Simulation
1425010,Free To Play
1425030,Action
1425030,Indie
1425030,Strategy
1425050,Action
1425050,Casual
1425050,Indie
1425070,Action
1425070,Adventure
1425070,Indie
1425090,Indie
1425110,Strategy
1425120,Casual
1425120,Indie
1424190,Adventure
1424190,Casual
1424250,Casual
1424250,Free To Play
1424250,Indie
1424250,Simulation
1424270,Action
1424300,Adventure
1424300,Casual
1424300,Role Playing
1424300,Simulation
1424350,Action
1424350,Casual
1424350,Indie
1424350,Racing
1424350,Sports
1424380,Action
1424380,Casual
1424380,Indie
1424420,Action
1424420,Indie
1424420,Strategy
1424420,Free To Play
1424420,Early Access
1424500,Action
1424500,Adventure
1424520,Action
1424520,Adventure
1424520,Free To Play
1424520,Indie
1424570,Casual
1424570,Indie
1424610,Casual
1424610,Role Playing
1691590,Unclassified
1423780,Adventure
1423780,Casual
1423780,Indie
1423780,Simulation
1423830,Action
1423830,Indie
1423970,Action
1423970,Casual
1423970,Indie
1423980,Action
1423980,Indie
1423980,Massively Multiplayer
1424020,Action
1424020,Adventure
1424020,Indie
1424020,Simulation
1424050,Casual
1424050,Indie
1424050,Strategy
1424050,Free To Play
1424070,Casual
1424080,Adventure
1424080,Casual
1424080,Simulation
1424080,Strategy
1424120,Action
1424120,Adventure
1424120,Casual
1424120,Indie
1424120,Early Access
1423270,Action
1423270,Adventure
1423270,Indie
1423280,Action
1423280,Indie
1423340,Action
1423340,Adventure
1423340,Indie
1423360,Adventure
1423360,Indie
1423360,Role Playing
1423360,Simulation
1423360,Strategy
1423360,Early Access
1423410,Action
1423410,Indie
1423410,Massively Multiplayer
1423410,Early Access
1423420,Indie
1423420,Strategy
1423500,Action
1423500,Adventure
1423500,Indie
1423540,Action
1423540,Simulation
1423590,Adventure
1423590,Indie
1423590,Role Playing
1423670,Action
1423670,Indie
1423670,Free To Play
1423680,Action
1423680,Massively Multiplayer
1423680,Simulation
1423720,Action
1423720,Indie
1422880,Action
1422880,Adventure
1422880,Casual
1422880,Indie
1422880,Sports
1422910,Action
1422910,Adventure
1422910,Indie
1422910,Racing
1422930,Adventure
1422950,Action
1422950,Adventure
1422950,Indie
1422980,Indie
1422980,Simulation
1422980,Strategy
1423000,Adventure
1423000,Casual
1423000,Indie
1423010,Action
1423010,Racing
1423010,Sports
1423030,Action
1423030,Adventure
1423030,Free To Play
1423030,Indie
1423030,Massively Multiplayer
1423030,Role Playing
1423030,Simulation
1412500,Indie
1423060,Action
1423060,Casual
1423060,Indie
1423090,Action
1423090,Adventure
1423090,Indie
1423090,Role Playing
1423090,Simulation
1423090,Early Access
1423140,Casual
1423140,Indie
1423200,Adventure
1423200,Casual
1423200,Indie
1422380,Casual
1422380,Indie
1422380,Simulation
1422380,Free To Play
1422410,Action
1422410,Indie
1422420,Action
1422420,Adventure
1422420,Indie
1422420,Role Playing
1422420,Sports
1422430,Indie
1422430,Simulation
1422520,Strategy
1422570,Action
1422570,Adventure
1422570,Indie
1422570,Role Playing
1422570,Simulation
1422610,Casual
1422610,Indie
1422620,Casual
1422620,Indie
1422620,Simulation
1422630,Casual
1422630,Indie
1422630,Strategy
1422630,Free To Play
1422670,Action
1422670,Adventure
1422670,Casual
1422670,Indie
1422730,Action
1422730,Adventure
1422730,Indie
1422730,Role Playing
1422730,Simulation
1422740,Casual
1422740,Simulation
1422750,Adventure
1422750,Casual
1422750,Indie
1422750,Simulation
1422780,Casual
1422780,Indie
1422780,Strategy
1422790,Action
1422790,Adventure
1422790,Indie
1422790,Role Playing
1422790,Early Access
1422810,Casual
1422810,Indie
1422820,Action
1422820,Adventure
1422820,Casual
1422820,Indie
1422820,Strategy
1421930,Adventure
1421930,Indie
1421930,Role Playing
1422050,Early Access
1422080,Indie
1422080,Simulation
1422080,Strategy
1422130,Simulation
1422130,Early Access
1422180,Action
1422180,Adventure
1422180,Casual
1422180,Indie
1422180,Simulation
1422180,Strategy
1422190,Adventure
1422190,Role Playing
1422200,Casual
1422200,Indie
1422200,Strategy
2540040,Unclassified
1422210,Casual
1422210,Indie
1422220,Casual
1422220,Indie
1422240,Action
1422240,Casual
1422240,Indie
1422240,Simulation
1422240,Strategy
1422260,Racing
1422270,Action
1422270,Indie
1422270,Simulation
1422270,Strategy
1422270,Early Access
1422280,Action
1422280,Racing
1422280,Sports
1422290,Action
1422290,Casual
1422290,Indie
1421900,Strategy
1421760,Adventure
1421760,Casual
1421760,Indie
1421790,Adventure
1421790,Casual
1421790,Indie
1421310,Action
1421310,Adventure
1421310,Indie
1421320,Role Playing
1421350,Action
1421350,Casual
1421390,Strategy
1421410,Free To Play
1421410,Indie
1421410,Strategy
1421490,Action
1421600,Casual
1421600,Indie
1421610,Action
1421610,Adventure
1421610,Indie
1421630,Action
1421630,Indie
1421690,Adventure
1421690,Casual
1421690,Indie
1421700,Adventure
1421700,Role Playing
1421710,Strategy
1420830,Casual
1420830,Indie
1420850,Action
1420850,Indie
1420850,Racing
1420850,Simulation
1420860,Adventure
1420860,Indie
1420890,Design & Illustration
1420890,Education
1420890,Utilities
1420930,Animation & Modeling
1420930,Audio Production
1420930,Design & Illustration
1420930,Education
1420930,Photo Editing
1420930,Software Training
1420930,Utilities
1420930,Video Production
1367110,Indie
1367110,Strategy
1420950,Action
1420950,Adventure
1420950,Casual
1420950,Indie
1420960,Casual
1420960,Indie
1420970,Adventure
1420970,Casual
